     11 174.16.150.191
     11 43.229.94.51
     11 43.229.94.59
     12 112.85.42.150
     12 43.229.252.215
     12 43.229.73.231
     12 5.188.206.14
     14 185.156.177.128
     14 43.229.226.46
     15 43.229.73.165
     15 43.229.73.252
     16 110.249.212.46
     18 185.156.177.129
     20 8.8.8.8
     21 125.65.42.180
     22 43.229.62.2
     23 122.226.181.167
     27 194.55.142.45
     31 43.229.60.11
     34 43.229.61.2
     37 125.65.42.181
     51 121.42.144.51
     54 176.240.182.248
     55 125.65.42.184
     56 125.65.42.179
     57 112.85.42.201
     64 125.65.42.182
     81 125.65.42.183
     82 125.65.42.178
     89 115.238.245.14
     98 146.185.222.61
    105 61.184.247.5
    127 61.184.247.10
    163 112.85.42.230
    169 122.226.181.164
    169 122.226.181.165
    171 61.184.247.12
    184 125.65.42.86
    194 122.226.181.166
    197 103.16.128.8
    217 118.123.15.179
    256 61.184.247.2
    281 61.184.247.6
    295 116.31.116.33
    303 61.184.247.8
    313 61.184.247.11
    316 118.123.15.142
    356 255.255.255.255
    386 115.238.245.4
    392 43.229.60.12
    396 115.238.245.8
    403 61.184.247.3
    435 115.238.245.2
    443 61.184.247.4
    454 61.184.247.7
    802 87.229.73.128
    938 180.101.88.220
   1606 43.229.62.189
